event_id,date,lat,lon,period
1,2025-11-21,-23.54107382896916,-46.62016954924709,post
2,2025-10-15,-23.526847567479276,-46.64563765364581,pre
3,2025-12-11,-23.546305510803876,-46.61861077583414,post
4,2025-11-30,-23.54491284610438,-46.623004559869116,post
5,2025-10-21,-23.524994309519883,-46.640967240890035,pre
6,2025-12-22,-23.549396700245296,-46.618714077213696,post
7,2025-12-26,-23.534393207148558,-46.6191215168425,post
8,2025-12-14,-23.551196028819373,-46.620290498432645,post
9,2025-12-14,-23.551723261496775,-46.60833051331174,post
10,2025-12-27,-23.535457301252062,-46.62366375393118,post
11,2025-10-24,-23.53313700159698,-46.646513484748375,pre
12,2025-10-03,-23.52694297221682,-46.65004745496816,pre
13,2025-10-22,-23.526607067544987,-46.64375031465708,pre
14,2025-11-22,-23.543899381211748,-46.62008141929225,post
15,2025-10-02,-23.52929685279963,-46.646413656159,pre
16,2025-12-27,-23.544217631342118,-46.6235239685195,post
17,2025-10-30,-23.523677515694747,-46.64285642180093,pre
18,2025-11-07,-23.520804990298007,-46.639718070246914,pre
19,2025-10-02,-23.523088858391827,-46.64246973572814,pre
20,2025-12-03,-23.54377055399484,-46.61407471768037,post
21,2025-11-29,-23.54591317153415,-46.61881288258334,post
22,2025-10-21,-23.527198712596483,-46.64407454423355,pre
23,2025-11-02,-23.529906688797222,-46.64597005740343,pre
24,2025-12-15,-23.548113077805667,-46.61862252476431,post
25,2025-11-27,-23.540239176287105,-46.62137901349431,post
26,2025-10-22,-23.525711116209507,-46.64360988542042,pre
27,2025-12-28,-23.547643103679572,-46.61755094790082,post
28,2025-11-18,-23.541789861224963,-46.62857018394122,post
29,2025-11-28,-23.54553243600494,-46.62452810936483,post
30,2025-11-11,-23.54596375427866,-46.62368172626819,post
31,2025-11-29,-23.544585681482964,-46.62231965894053,post
32,2025-12-19,-23.545804562775285,-46.616570446286644,post
33,2025-10-15,-23.52472846401799,-46.6458155786012,pre
34,2025-12-01,-23.546622186931252,-46.619032827778405,post
35,2025-12-01,-23.54243832171319,-46.62341512095625,post
36,2025-11-16,-23.545335962667608,-46.613612775839655,post
37,2025-12-01,-23.546746192354085,-46.61335678164617,post
38,2025-11-20,-23.539985332229897,-46.61409833489978,post
39,2025-11-24,-23.546916287888276,-46.62167422349626,post
40,2025-12-03,-23.5461966552351,-46.6164929872323,post
41,2025-10-03,-23.528103051318016,-46.64007513802663,pre
42,2025-11-20,-23.54168680235523,-46.621192118122856,post
43,2025-10-07,-23.522504020797506,-46.642569280521094,pre
44,2025-10-21,-23.523897742844174,-46.644978813475674,pre
45,2025-12-12,-23.547293747256425,-46.61807541788297,post
46,2025-11-08,-23.525107479266996,-46.64202676934349,pre
47,2025-10-18,-23.527431065043814,-46.6368031620939,pre
48,2025-10-04,-23.52974975741276,-46.64768537203892,pre
49,2025-12-28,-23.540631333979345,-46.61755961446343,post
50,2025-11-29,-23.542984948884033,-46.622151808887615,post
51,2025-10-14,-23.52489273361243,-46.636116678811526,pre
52,2025-10-09,-23.518853361376376,-46.649625654821904,pre
53,2025-12-29,-23.546075680476992,-46.62292709305194,post
54,2025-11-22,-23.537893922113202,-46.63092517994626,post
55,2025-10-02,-23.5248584944208,-46.64402724123368,pre
56,2025-12-23,-23.53784754900181,-46.614995844639985,post
57,2025-11-29,-23.542937973060692,-46.62731889228285,post
58,2025-12-10,-23.54669555792934,-46.62285756430646,post
59,2025-11-13,-23.549705819177813,-46.61638166287256,post
60,2025-10-08,-23.530760279491822,-46.63513868996618,pre
61,2025-11-16,-23.53654870946382,-46.62254024104744,post
62,2025-11-04,-23.525414513889608,-46.64328913391228,pre
63,2025-12-17,-23.54079270079855,-46.615901290645745,post
64,2025-12-20,-23.543368012031518,-46.61912353316088,post
65,2025-11-05,-23.52826181279182,-46.64125314413244,pre
66,2025-11-19,-23.543748951684304,-46.624647177955005,post
67,2025-10-04,-23.526442111328027,-46.644532730071944,pre
68,2025-10-02,-23.52822848674545,-46.6475859648304,pre
69,2025-10-06,-23.52621249180025,-46.6461218960253,pre
70,2025-11-23,-23.54628443268921,-46.61669950289913,post
71,2025-10-04,-23.524503651696193,-46.64691506659145,pre
72,2025-11-23,-23.542992435728372,-46.620468877206946,post
73,2025-12-02,-23.537593215165867,-46.61546741999651,post
74,2025-10-18,-23.53100124617713,-46.63955548932417,pre
75,2025-12-29,-23.539339210993504,-46.61876256316509,post
76,2025-11-13,-23.545741648574776,-46.61134642433954,post
77,2025-11-03,-23.524445772157218,-46.63509382290509,pre
78,2025-12-13,-23.538994086282106,-46.61914346135911,post
79,2025-12-01,-23.546718803645895,-46.62109641951261,post
80,2025-10-14,-23.52706573735838,-46.6478580758226,pre
81,2025-11-17,-23.54179887370016,-46.61473058799216,post
82,2025-10-15,-23.527294910483654,-46.634345374003104,pre
83,2025-12-11,-23.550630331143445,-46.61678254580645,post
84,2025-12-17,-23.537713919058376,-46.62181612232393,post
85,2025-12-26,-23.54514422602057,-46.616828939296624,post
86,2025-12-01,-23.54237603556016,-46.62898964537384,post
87,2025-11-09,-23.528930119463617,-46.64305419819219,pre
88,2025-12-24,-23.54987879271874,-46.62289669726572,post
89,2025-12-19,-23.549778741700976,-46.622480682522216,post
90,2025-12-21,-23.545746490909284,-46.61959298129363,post
91,2025-11-22,-23.544767037295998,-46.618988841115836,post
92,2025-10-24,-23.525249367977576,-46.63887464002294,pre
93,2025-10-26,-23.52377865087712,-46.63992750465946,pre
94,2025-12-28,-23.531980530286134,-46.619610389453435,post
95,2025-11-29,-23.534025713984565,-46.619351126391024,post
96,2025-11-10,-23.544731403659224,-46.62249266072885,post
97,2025-10-29,-23.521870822604654,-46.63643798642845,pre
98,2025-10-15,-23.524600648432106,-46.63846581290199,pre
99,2025-11-14,-23.54950888186369,-46.62719511929005,post
100,2025-12-04,-23.53941469245681,-46.621507245991616,post
101,2025-12-28,-23.54140279033041,-46.62386915179982,post
102,2025-12-10,-23.53777204612118,-46.62716167468756,post
103,2025-10-09,-23.530556755259447,-46.63722275366515,pre
104,2025-12-27,-23.55483936717193,-46.61948572452762,post
105,2025-10-01,-23.52672197798679,-46.6459438076768,pre
106,2025-10-08,-23.52699981954577,-46.64639009397236,pre
107,2025-12-27,-23.538230976215807,-46.613782011646556,post
108,2025-12-02,-23.54714295034715,-46.61989790049013,post
109,2025-10-11,-23.530375229412808,-46.63870779136399,pre
110,2025-12-20,-23.540211963301427,-46.622181048930834,post
111,2025-10-08,-23.52634934482474,-46.64337506179809,pre
112,2025-11-04,-23.53125537350104,-46.6368159834096,pre
113,2025-11-04,-23.528700859716647,-46.64604059708903,pre
114,2025-11-02,-23.526851259563383,-46.639017805658554,pre
115,2025-10-05,-23.528173909645275,-46.650808740885616,pre
116,2025-11-10,-23.547947992242918,-46.61930343832368,post
117,2025-10-28,-23.51983074913657,-46.64803967986549,pre
118,2025-10-07,-23.53028950530244,-46.64905038200335,pre
119,2025-12-12,-23.550946899965197,-46.61617723415968,post
120,2025-12-11,-23.538421245698544,-46.620288976425684,post
121,2025-10-12,-23.527803138316422,-46.63583542485255,pre
122,2025-11-03,-23.52587827587503,-46.63864225316256,pre
123,2025-11-02,-23.527949346825164,-46.64282302458311,pre
124,2025-11-17,-23.549349366581787,-46.61848300411243,post
125,2025-10-23,-23.52582718674768,-46.64657825292966,pre
126,2025-12-01,-23.547924428598105,-46.61453616598665,post
127,2025-12-27,-23.536513324998154,-46.62185254134667,post
128,2025-11-06,-23.526196739281712,-46.64139954210141,pre
129,2025-11-13,-23.54380787296736,-46.62769719088216,post
130,2025-12-25,-23.54268851729124,-46.6293515561384,post
131,2025-11-04,-23.528598052573773,-46.640978291413504,pre
132,2025-12-04,-23.5420000231683,-46.62424029233684,post
133,2025-11-16,-23.54623374776075,-46.623375346036,post
134,2025-12-17,-23.544811376652543,-46.62110717738655,post
135,2025-10-03,-23.52439459561141,-46.64506758745156,pre
136,2025-10-01,-23.52527981142426,-46.64097193694205,pre
137,2025-10-05,-23.525805131867884,-46.6440384232898,pre
138,2025-12-29,-23.5436774181429,-46.61799303890643,post
139,2025-10-14,-23.52388244539685,-46.63573850926069,pre
140,2025-10-27,-23.52937007870892,-46.64476002956398,pre
141,2025-10-09,-23.531240405980803,-46.63927596214269,pre
142,2025-12-18,-23.545738030025426,-46.62017523607189,post
143,2025-10-15,-23.52821301570834,-46.64430681597991,pre
144,2025-12-29,-23.539507239578292,-46.618223066358055,post
145,2025-11-11,-23.544846088230635,-46.6179287443221,post
146,2025-12-16,-23.541240399679847,-46.62256570206675,post
147,2025-11-20,-23.550276318242545,-46.62459664650801,post
148,2025-12-02,-23.54976211441353,-46.61634226141603,post
149,2025-11-21,-23.53904753913421,-46.61465450447937,post
150,2025-10-04,-23.53245866664693,-46.63871439635851,pre
151,2025-10-23,-23.519763426071844,-46.63855204914476,pre
152,2025-10-15,-23.53285368885361,-46.63592680676641,pre
153,2025-11-12,-23.544233243851473,-46.62192959642601,post
154,2025-10-29,-23.52504671411025,-46.647196027690285,pre
155,2025-11-05,-23.526391652887234,-46.63651828141958,pre
156,2025-10-13,-23.52453280938843,-46.64276639411159,pre
157,2025-11-01,-23.526131175520216,-46.647725575933194,pre
158,2025-12-10,-23.544999951565597,-46.62753718134252,post
159,2025-11-28,-23.540310236190425,-46.629742841929904,post
160,2025-12-25,-23.540980398481516,-46.617082356396665,post
161,2025-10-28,-23.522443706152817,-46.642652563347355,pre
162,2025-12-05,-23.54073348613537,-46.621638986561464,post
163,2025-11-11,-23.54914678847075,-46.61487707042985,post
164,2025-11-14,-23.54478754331846,-46.62663804526989,post
165,2025-12-01,-23.546267259783157,-46.62270929873028,post
166,2025-11-26,-23.5425532123275,-46.61161181006651,post
167,2025-10-06,-23.52483274416015,-46.642172624592014,pre
168,2025-10-28,-23.519032671401312,-46.63908442584035,pre
169,2025-10-28,-23.525637252387593,-46.64491764743527,pre
170,2025-11-13,-23.543135199695183,-46.621265561616376,post
171,2025-12-23,-23.544034263489763,-46.61574239030092,post
172,2025-10-30,-23.528020966549413,-46.640945837167344,pre
173,2025-12-01,-23.54060424004065,-46.6236484500673,post
174,2025-12-14,-23.547690485661956,-46.621601367690324,post
175,2025-12-28,-23.546246518361027,-46.616390669565035,post
176,2025-12-01,-23.54840707311426,-46.62072611452589,post
177,2025-10-01,-23.518761854999784,-46.64134777386486,pre
178,2025-10-27,-23.524662129567083,-46.63835727001721,pre
179,2025-12-01,-23.5462517962617,-46.62532567851498,post
180,2025-12-16,-23.54369395489535,-46.619938384686606,post
181,2025-10-03,-23.531254632384137,-46.64149971234127,pre
182,2025-12-09,-23.540120598005196,-46.6246517922921,post
183,2025-12-11,-23.5426577766065,-46.61743094535852,post
184,2025-10-27,-23.52463996537441,-46.640275975045036,pre
185,2025-10-09,-23.52713440072542,-46.64751001735096,pre
186,2025-12-01,-23.546188585849535,-46.62334422840748,post
187,2025-11-06,-23.52664077713862,-46.63862691637816,pre
188,2025-11-20,-23.549647360512655,-46.62042299990873,post
189,2025-11-13,-23.54865360658207,-46.623960187671294,post
190,2025-10-24,-23.524723777742164,-46.64775978021346,pre
191,2025-12-18,-23.54146302284119,-46.6264086577865,post
192,2025-11-28,-23.541732078386246,-46.627198125078316,post
193,2025-11-01,-23.52825343803777,-46.63541402246748,pre
194,2025-12-27,-23.53756581452093,-46.62265009861007,post
195,2025-11-21,-23.54284015765588,-46.616183727924465,post
196,2025-12-01,-23.54167481530232,-46.62209385698582,post
197,2025-11-27,-23.547394541256146,-46.61752758742817,post
198,2025-11-21,-23.53987718676554,-46.614137192662426,post
199,2025-10-12,-23.53146174827036,-46.648012499152806,pre
200,2025-11-08,-23.522914229193557,-46.649206122187,pre
201,2025-10-02,-23.522684350135265,-46.64385973002394,pre
202,2025-10-03,-23.52796274145801,-46.64217828561492,pre
203,2025-11-25,-23.54978147380894,-46.61770394067761,post
204,2025-12-20,-23.537641452009222,-46.61751769513675,post
205,2025-11-28,-23.545386034770218,-46.627152142831065,post
206,2025-10-02,-23.530898762368608,-46.64831857320896,pre
207,2025-10-02,-23.526436834831337,-46.64254639974691,pre
208,2025-11-23,-23.540926225957037,-46.628184115945935,post
209,2025-12-26,-23.53915515907843,-46.61822237472422,post
210,2025-10-01,-23.527380508879187,-46.64775904616693,pre
211,2025-10-19,-23.522652578074926,-46.64420037584495,pre
212,2025-10-02,-23.52646005669803,-46.64146555211685,pre
213,2025-11-22,-23.548052795623125,-46.622128722316106,post
214,2025-11-13,-23.54093873239192,-46.617943615686016,post
215,2025-12-29,-23.541307571173217,-46.625620719004566,post
216,2025-11-01,-23.527109741052186,-46.644585575340194,pre
217,2025-12-09,-23.5426992846309,-46.61965736804141,post
218,2025-11-01,-23.52593371800777,-46.63313706417832,pre
219,2025-12-07,-23.545563224320574,-46.62263129234427,post
220,2025-11-24,-23.549026998681345,-46.62715138930372,post
221,2025-12-14,-23.549281269508864,-46.623874727701775,post
222,2025-11-25,-23.539159707622247,-46.62084334438256,post
223,2025-10-17,-23.52582000799914,-46.64338509323281,pre
224,2025-11-07,-23.525304097020932,-46.63739171141113,pre
225,2025-10-24,-23.532381792508804,-46.63812665073766,pre
226,2025-12-08,-23.55446015381014,-46.62088718915391,post
227,2025-12-09,-23.535632370581023,-46.61827736824188,post
228,2025-12-25,-23.542907764258718,-46.61299221613279,post
229,2025-10-11,-23.528509188694002,-46.64126413031014,pre
230,2025-10-16,-23.52466564870758,-46.64508960853691,pre
231,2025-12-12,-23.546136440717984,-46.6231751177329,post
232,2025-11-28,-23.544050740103966,-46.618813233576915,post
233,2025-12-09,-23.54390707890834,-46.618162152730285,post
234,2025-12-19,-23.552276589143894,-46.62187300465497,post
235,2025-10-03,-23.529470257931052,-46.64179310994927,pre
236,2025-10-20,-23.525539247713983,-46.64346248845983,pre
237,2025-11-28,-23.54235888395787,-46.617008749126946,post
238,2025-11-05,-23.526581561566918,-46.6472067795524,pre
239,2025-10-19,-23.531143772712756,-46.64285555929868,pre
240,2025-12-29,-23.543432533193947,-46.62487809555808,post
241,2025-12-06,-23.541496932707346,-46.6228358275433,post
242,2025-10-19,-23.53136929859551,-46.63797425463062,pre
243,2025-10-20,-23.522968036242393,-46.65106239774666,pre
244,2025-12-10,-23.546650401126616,-46.62340633472566,post
